,Energy,Units
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/addAll_1000_times_1000_elements_to_100000","96.118","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/add_100000_elements_to_100000","2.337","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/clear_50000_elements","25860.292","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/containsAll_5000_times_for_1000_in_100000","5957.454","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/contains_9999999_1000_times","66.885","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/iterator_100000_elements","0.18","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/removeAll_10_times_1000_elements_from_100000","1626.249","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/remove_2500_times_from_3125","22745.126","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/retainAll_10_times_1000_elems_from_25000","27562.907","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.AssocList/toList_2500_times_from_3125","23405.824","j"
