,Time,Units
"Time/AssocCollection/Data.Edison.Assoc.AssocList/addAll_1000_times_1000_elements_to_100000","1.834","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/add_100000_elements_to_100000","44.74","ms"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/clear_50000_elements","492.5","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/containsAll_5000_times_for_1000_in_100000","113.7","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/contains_9999999_1000_times","1.286","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/iterator_100000_elements","3.446","ms"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/removeAll_10_times_1000_elements_from_100000","30.39","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/remove_2500_times_from_3125","428.0","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/retainAll_10_times_1000_elems_from_25000","524.8","s"
"Time/AssocCollection/Data.Edison.Assoc.AssocList/toList_2500_times_from_3125","441.9","s"
