,Energy,Units
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/addAll_1000_times_1000_elements_to_100000","86.827","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/add_100000_elements_to_100000","3.752","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/clear_50000_elements","0.243","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/containsAll_5000_times_for_1000_in_100000","11.122","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/contains_9999999_1000_times","1.436e-2","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/iterator_100000_elements","1.249","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/removeAll_10_times_1000_elements_from_100000","0.889","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/remove_2500_times_from_3125","6.171","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/retainAll_10_times_1000_elems_from_25000","9.282e-2","j"
"EnergyConsumption/AssocCollection/Data.Edison.Assoc.StandardMap/toList_2500_times_from_3125","8.541","j"
