,Time,Units
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/addAll_1000_times_1000_elements_to_100000","749.2","ms"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/add_100000_elements_to_100000","49.26","ms"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/clear_100000_elements","2.233","ms"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/containsAll_5000_times_for_1000_in_100000","35.07","s"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/contains_9999999_1000_times","1.479","s"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/iterator_100000_elements","1.546","ms"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/removeAll_10_times_1000_elements_from_100000","15.74","ms"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/remove_10000_times_from_100000","7.536","s"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/retainAll_10_times_1000_elems_from_100000","13.99","s"
"Time/Heap/Data.Edison.Coll.LazyPairingHeap/toList_5000_times_from_100000","7.875","s"
