,Energy,Units
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/addAll_1000_times_1000_elements_to_100000","251.149","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/add_100000_elements_to_100000","1.248","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/clear_100000_elements","0.206","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/containsAll_5000_times_for_1000_in_100000","2232.012","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/contains_9999999_1000_times","91.322","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/iterator_100000_elements","0.111","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/removeAll_10_times_1000_elements_from_100000","5.088","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/remove_10000_times_from_100000","2438.056","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/retainAll_10_times_1000_elems_from_100000","930.758","j"
"EnergyConsumption/Heap/Data.Edison.Coll.LeftistHeap/toList_5000_times_from_100000","556.32","j"
