,Energy,Units
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/addAll_1000_times_1000_elements_to_100000","267.76","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/add_100000_elements_to_100000","2.941","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/clear_100000_elements","0.202","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/containsAll_5000_times_for_1000_in_100000","2122.573","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/contains_9999999_1000_times","88.482","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/iterator_100000_elements","0.114","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/removeAll_10_times_1000_elements_from_100000","5.577","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/remove_10000_times_from_100000","2652.74","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/retainAll_10_times_1000_elems_from_100000","844.233","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SkewHeap/toList_5000_times_from_100000","585.093","j"
