,Energy,Units
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/addAll_1000_times_1000_elements_to_100000","62.415","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/add_100000_elements_to_100000","11.298","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/clear_100000_elements","0.472","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/containsAll_5000_times_for_1000_in_100000","3376.023","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/contains_9999999_1000_times","128.045","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/iterator_100000_elements","0.108","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/removeAll_10_times_1000_elements_from_100000","1.215","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/remove_10000_times_from_100000","565.581","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/retainAll_10_times_1000_elems_from_100000","1195.488","j"
"EnergyConsumption/Heap/Data.Edison.Coll.SplayHeap/toList_5000_times_from_100000","547.21","j"
