,Time,Units
"Time/Set/Data.Edison.Coll.StandardSet/addAll_1000_times_1000_elements_to_100000","1.343","s"
"Time/Set/Data.Edison.Coll.StandardSet/add_100000_elements_to_100000","61.59","ms"
"Time/Set/Data.Edison.Coll.StandardSet/clear_100000_elements","9.084","ms"
"Time/Set/Data.Edison.Coll.StandardSet/containsAll_5000_times_for_1000_in_100000","165.5","ms"
"Time/Set/Data.Edison.Coll.StandardSet/contains_9999999_1000_times","275.5","\956s"
"Time/Set/Data.Edison.Coll.StandardSet/iterator_100000_elements","4.909","ms"
"Time/Set/Data.Edison.Coll.StandardSet/removeAll_10_times_1000_elements_from_100000","14.87","ms"
"Time/Set/Data.Edison.Coll.StandardSet/remove_10000_times_from_100000","12.53","s"
"Time/Set/Data.Edison.Coll.StandardSet/retainAll_10_times_1000_elems_from_100000","2.644","ms"
"Time/Set/Data.Edison.Coll.StandardSet/toList_5000_times_from_100000","24.51","s"
