,Energy,Units
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/addAll_1000_times_1000_elements_to_100000","181.082","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/add_25000_elements_to_3125","0.165","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/clear_100000_elements","0.16","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/containsAll_2500_times_for_1000_in_3125","4866.869","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/contains_9999999_1000_times","128.223","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/iterator_100000_elements","0.202","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/removeAll_10_times_1000_elements_from_100000","583.861","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/remove_10000_times_from_100000","368.273","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/retainAll_10_times_1000_elems_from_100000","583.186","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BankersQueue/toList_5000_times_from_100000","919.6","j"
