,Energy,Units
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/addAll_1000_times_1000_elements_to_100000","179.905","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/add_25000_elements_to_3125","25863.464","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/clear_100000_elements","9.943e-2","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/containsAll_2500_times_for_1000_in_3125","10822.035","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/contains_9999999_1000_times","162.516","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/iterator_100000_elements","0.346","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/removeAll_10_times_1000_elements_from_100000","1362.601","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/remove_10000_times_from_100000","680.892","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/retainAll_10_times_1000_elems_from_100000","1576.158","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.BinaryRandList/toList_5000_times_from_100000","1401.186","j"
