,Time,Units
"Time/Sequence/Data.Edison.Seq.BraunSeq/addAll_1000_times_1000_elements_to_100000","1.455","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/add_25000_elements_to_3125","66.44","ms"
"Time/Sequence/Data.Edison.Seq.BraunSeq/clear_100000_elements","96.39","ms"
"Time/Sequence/Data.Edison.Seq.BraunSeq/containsAll_2500_times_for_1000_in_3125","409.4","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/contains_9999999_1000_times","14.86","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/iterator_100000_elements","9.15","ms"
"Time/Sequence/Data.Edison.Seq.BraunSeq/removeAll_10_times_1000_elements_from_100000","47.1","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/remove_10000_times_from_100000","11.1","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/retainAll_10_times_1000_elems_from_100000","44.04","s"
"Time/Sequence/Data.Edison.Seq.BraunSeq/toList_5000_times_from_100000","68.44","s"
