,Time,Units
"Time/Sequence/Data.Edison.Seq.JoinList/addAll_1000_times_1000_elements_to_100000","2.325","s"
"Time/Sequence/Data.Edison.Seq.JoinList/add_25000_elements_to_3125","7.198","ms"
"Time/Sequence/Data.Edison.Seq.JoinList/clear_100000_elements","3.007","ms"
"Time/Sequence/Data.Edison.Seq.JoinList/containsAll_2500_times_for_1000_in_3125","219.3","s"
"Time/Sequence/Data.Edison.Seq.JoinList/contains_9999999_1000_times","4.933","s"
"Time/Sequence/Data.Edison.Seq.JoinList/iterator_100000_elements","9.86","ms"
"Time/Sequence/Data.Edison.Seq.JoinList/removeAll_10_times_1000_elements_from_100000","27.59","s"
"Time/Sequence/Data.Edison.Seq.JoinList/remove_10000_times_from_100000","23.31","s"
"Time/Sequence/Data.Edison.Seq.JoinList/retainAll_10_times_1000_elems_from_100000","27.09","s"
"Time/Sequence/Data.Edison.Seq.JoinList/toList_5000_times_from_100000","32.85","s"
