,Energy,Units
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/addAll_1000_times_1000_elements_to_100000","65.741","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/add_25000_elements_to_3125","7152.957","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/clear_100000_elements","1.259e-2","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/containsAll_2500_times_for_1000_in_3125","1674.621","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/contains_9999999_1000_times","44.759","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/iterator_100000_elements","9.575e-2","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/removeAll_10_times_1000_elements_from_100000","407.15","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/remove_10000_times_from_100000","356.273","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/retainAll_10_times_1000_elems_from_100000","425.534","j"
"EnergyConsumption/Sequence/Data.Edison.Seq.ListSeq/toList_5000_times_from_100000","180.017","j"
