,Time,Units
"Time/Sequence/Data.Edison.Seq.ListSeq/addAll_1000_times_1000_elements_to_100000","1.286","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/add_25000_elements_to_3125","139.5","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/clear_100000_elements","248.1","\956s"
"Time/Sequence/Data.Edison.Seq.ListSeq/containsAll_2500_times_for_1000_in_3125","33.38","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/contains_9999999_1000_times","884.4","ms"
"Time/Sequence/Data.Edison.Seq.ListSeq/iterator_100000_elements","1.892","ms"
"Time/Sequence/Data.Edison.Seq.ListSeq/removeAll_10_times_1000_elements_from_100000","8.118","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/remove_10000_times_from_100000","7.135","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/retainAll_10_times_1000_elems_from_100000","8.477","s"
"Time/Sequence/Data.Edison.Seq.ListSeq/toList_5000_times_from_100000","3.572","s"
