,Time,Units
"Time/Sequence/Data.Edison.Seq.RandList/addAll_1000_times_1000_elements_to_100000","21.0","s"
"Time/Sequence/Data.Edison.Seq.RandList/add_25000_elements_to_3125","291.2","s"
"Time/Sequence/Data.Edison.Seq.RandList/clear_100000_elements","521.7","\956s"
"Time/Sequence/Data.Edison.Seq.RandList/containsAll_2500_times_for_1000_in_3125","141.7","s"
"Time/Sequence/Data.Edison.Seq.RandList/contains_9999999_1000_times","2.042","s"
"Time/Sequence/Data.Edison.Seq.RandList/iterator_100000_elements","6.539","ms"
"Time/Sequence/Data.Edison.Seq.RandList/removeAll_10_times_1000_elements_from_100000","15.47","s"
"Time/Sequence/Data.Edison.Seq.RandList/remove_10000_times_from_100000","7.041","s"
"Time/Sequence/Data.Edison.Seq.RandList/retainAll_10_times_1000_elems_from_100000","19.4","s"
"Time/Sequence/Data.Edison.Seq.RandList/toList_5000_times_from_100000","27.36","s"
