,Time,Units
"Time/Sequence/Data.Edison.Seq.SimpleQueue/addAll_1000_times_1000_elements_to_100000","3.391","s"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/add_25000_elements_to_3125","3.054","ms"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/clear_100000_elements","1.691","ms"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/containsAll_2500_times_for_1000_in_3125","37.64","s"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/contains_9999999_1000_times","960.7","ms"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/iterator_100000_elements","3.852","ms"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/removeAll_10_times_1000_elements_from_100000","9.254","s"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/remove_10000_times_from_100000","5.904","s"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/retainAll_10_times_1000_elems_from_100000","8.885","s"
"Time/Sequence/Data.Edison.Seq.SimpleQueue/toList_5000_times_from_100000","16.93","s"
