addAll_1000_times_1000_elements_to_100000
,Time,Unit
"BankersQueue","3.602","s"
"BinaryRandList","3.579","s"
"BraunSeq","1.455","s"
"JoinList","2.325","s"
"ListSeq","1.286","s"
"RandList","21.0","s"
"SimpleQueue","3.391","s"

add_25000_elements_to_3125
,Time,Unit
"BankersQueue","3.251","ms"
"BinaryRandList","509700.0","ms"
"BraunSeq","66.44","ms"
"JoinList","7.198","ms"
"ListSeq","139500.0","ms"
"RandList","291200.0","ms"
"SimpleQueue","3.054","ms"

clear_100000_elements
,Time,Unit
"BankersQueue","3.146","ms"
"BinaryRandList","1.964","ms"
"BraunSeq","96.39","ms"
"JoinList","3.007","ms"
"ListSeq","0.2481","ms"
"RandList","0.5217","ms"
"SimpleQueue","1.691","ms"

containsAll_2500_times_for_1000_in_3125
,Time,Unit
"BankersQueue","95.24","s"
"BinaryRandList","214.0","s"
"BraunSeq","409.4","s"
"JoinList","219.3","s"
"ListSeq","33.38","s"
"RandList","141.7","s"
"SimpleQueue","37.64","s"

contains_9999999_1000_times
,Time,Unit
"BankersQueue","2.492","s"
"BinaryRandList","3.222","s"
"BraunSeq","14.86","s"
"JoinList","4.933","s"
"ListSeq","0.8844","s"
"RandList","2.042","s"
"SimpleQueue","0.9607000000000001","s"

iterator_100000_elements
,Time,Unit
"BankersQueue","3.952","ms"
"BinaryRandList","6.776","ms"
"BraunSeq","9.15","ms"
"JoinList","9.86","ms"
"ListSeq","1.892","ms"
"RandList","6.539","ms"
"SimpleQueue","3.852","ms"

removeAll_10_times_1000_elements_from_100000
,Time,Unit
"BankersQueue","11.42","s"
"BinaryRandList","27.24","s"
"BraunSeq","47.1","s"
"JoinList","27.59","s"
"ListSeq","8.118","s"
"RandList","15.47","s"
"SimpleQueue","9.254","s"

remove_10000_times_from_100000
,Time,Unit
"BankersQueue","7.192","s"
"BinaryRandList","13.72","s"
"BraunSeq","11.1","s"
"JoinList","23.31","s"
"ListSeq","7.135","s"
"RandList","7.041","s"
"SimpleQueue","5.904","s"

retainAll_10_times_1000_elems_from_100000
,Time,Unit
"BankersQueue","11.43","s"
"BinaryRandList","30.96","s"
"BraunSeq","44.04","s"
"JoinList","27.09","s"
"ListSeq","8.477","s"
"RandList","19.4","s"
"SimpleQueue","8.885","s"

toList_5000_times_from_100000
,Time,Unit
"BankersQueue","17.93","s"
"BinaryRandList","27.71","s"
"BraunSeq","68.44","s"
"JoinList","32.85","s"
"ListSeq","3.572","s"
"RandList","27.36","s"
"SimpleQueue","16.93","s"
